0.15,0.2,0.02,0.21,0.18
0.25,0.31,0.11,0.02,0.16
0.06,0.17,0.27,0.11,0.27
0,0.1,0.3,0.2,0.2
0.35,0.35,0,0,0.1
0.15,0.34,0.07,0.15,0.1
0.13,0.08,0.16,0.36,0.02
0.14,0.08,0.03,0.26,0.25
0,0,0.5,0,0.3
0,0.05,0,0.25,0.2
0.1,0,0.25,0.25,0.25
0.12,0.25,0.23,0.22,0.15
0.03,0.14,0.26,0.3,0.22
0.4,0,0.2,0.2,0.2
0,0.25,0,0.35,0.25
0.5,0.1,0.1,0.1,0.1
0.7,0.1,0.2,0,0
0.29,0.11,0.19,0.27,0.07
0.28,0.21,0.02,0.15,0.25
0.3,0,0,0.1,0.1
0.13,0.05,0.18,0.05,0.21
0.44,0.21,0.1,0.15,0.1
0.26,0.04,0.22,0.28,0.07
0.06,0.28,0,0.25,0.33
0.1,0.16,0.18,0.04,0.24
0.05,0.11,0.17,0.18,0.35
0,0.3,0.7,0,0
0.2,0,0.8,0,0
0.1,0,0.9,0,0
0,0.5,0.5,0,0
0,0.65,0.15,0.2,0
0,0.9,0.1,0,0
0.3,0.3,0.1,0.1,0.1
0.1,0.8,0,0.1,0
0.8,0.1,0,0.1,0
0.45,0.45,0,0,0.1
0.2,0.7,0,0,0
0.3,0.5,0.2,0,0
0.6,0.35,0.05,0,0
0.5,0.5,0,0,0
0.35,0.24,0,0.1,0.17
