R1(HA),R2(IA),R3(NVP),R4(AA),R5(HEAA),R6(IBOA),Printability,Tg
0.15,0.2,0.02,0.21,0.18,0.24,1,56.6
0.25,0.31,0.11,0.02,0.16,0.15,1,14.2
0.06,0.17,0.27,0.11,0.27,0.12,1,54.8
0,0.1,0.3,0.2,0.2,0.2,1,56.7
0.35,0.35,0,0,0.1,0.2,1,13.1
0.15,0.34,0.07,0.15,0.1,0.19,1,42.3
0.13,0.08,0.16,0.36,0.02,0.25,1,50.9
0.14,0.08,0.03,0.26,0.25,0.24,1,50.1
0,0,0.5,0,0.3,0.2,1,126.7
0,0.05,0,0.25,0.2,0.5,1,120.9
0.1,0,0.25,0.25,0.25,0.15,1,101.7
0.12,0.25,0.23,0.22,0.15,0.03,1,54
0.03,0.14,0.26,0.3,0.22,0.05,1,78.2
0.4,0,0.2,0.2,0.2,0,1,51.8
0,0.25,0,0.35,0.25,0.15,1,54.5
0.5,0.1,0.1,0.1,0.1,0.1,1,40.5
0.7,0.1,0.2,0,0,0,1,21.3
0.29,0.11,0.19,0.27,0.07,0.07,1,53.4
0.28,0.21,0.02,0.15,0.25,0.09,1,31.4
0.3,0,0,0.1,0.1,0.5,1,55.1
0.13,0.05,0.18,0.05,0.21,0.38,1,51.5
0.44,0.21,0.1,0.15,0.1,0,1,28.8
0.26,0.04,0.22,0.28,0.07,0.13,1,48.5
0.06,0.28,0,0.25,0.33,0.08,1,47.8
0.1,0.16,0.18,0.04,0.24,0.28,1,56.1
0.05,0.11,0.17,0.18,0.35,0.14,1,56.6
0,0.3,0.7,0,0,0,0,200
0.2,0,0.8,0,0,0,1,99.6
0.1,0,0.9,0,0,0,0,200
0,0.5,0.5,0,0,0,0,200
0,0.65,0.15,0.2,0,0,0,200
0,0.9,0.1,0,0,0,0,200
0.3,0.3,0.1,0.1,0.1,0.1,1,34.8
0.1,0.8,0,0.1,0,0,0,200
0.8,0.1,0,0.1,0,0,1,28.7
0.45,0.45,0,0,0.1,0,1,-2.8
0.2,0.7,0,0,0,0.1,0,200
0.3,0.5,0.2,0,0,0,1,9.7
0.6,0.35,0.05,0,0,0,1,17.4
0.5,0.5,0,0,0,0,1,-8.7
0.35,0.24,0,0.1,0.17,0.14,1,37.5
0.17,0.27,0.11,0.17,0.09,0.19,1,49.1
0.14,0.2,0.04,0.11,0.19,0.32,1,47.5
0.29,0,0.06,0.23,0.31,0.11,1,56.4
0.23,0,0.07,0.31,0.33,0.06,1,60.8
0.37,0.17,0.1,0.04,0.2,0.12,1,44.2
0.25,0.35,0.02,0.15,0.13,0.1,1,29.2
0.29,0.28,0.04,0.29,0.1,0,1,36.7
0.04,0.4,0.08,0.33,0.09,0.06,1,40.6
0.43,0.24,0,0.06,0.24,0.03,1,33.8
0.34,0.12,0.15,0.24,0.06,0.09,1,47.2
0.31,0.37,0.08,0.18,0,0.06,1,27.5
0.28,0.15,0.03,0.01,0,0.53,1,49.3
0.28,0.33,0,0.07,0.05,0.27,1,31.7
0.36,0.02,0,0.3,0.01,0.31,1,54.3
0.25,0.09,0,0.13,0.34,0.19,1,53.7
0.29,0.29,0.09,0.09,0.17,0.07,1,35.3
0.27,0.41,0,0.11,0.21,0,1,29.7
0.29,0.34,0.02,0.12,0.07,0.16,1,31.4
0.28,0.34,0,0.1,0.28,0,1,34.3
0.23,0.4,0,0.12,0.24,0.01,1,30.1
0.2,0.39,0,0.03,0.2,0.18,1,26.7
0.3,0.4,0.01,0,0.27,0.02,1,27.5
0.35,0.06,0.06,0.17,0.34,0.02,1,54.2
0.27,0.07,0.29,0.06,0.3,0.01,1,49.6
0.1,0.42,0.03,0.2,0.06,0.19,1,32.7
0.06,0.41,0,0.16,0.22,0.15,1,29.6
0.15,0.05,0.21,0.01,0.34,0.24,1,97.3
0.17,0.01,0.2,0.01,0.35,0.26,1,95.4
0.25,0.28,0,0.26,0.18,0.03,1,41.3
0,0.33,0.02,0.07,0.14,0.44,1,33.1
0.08,0.3,0,0.29,0.18,0.15,1,46.6
0.55,0.24,0,0.09,0.09,0.03,1,32.7
0.11,0.43,0.03,0.09,0.27,0.07,1,47.1
0,0.41,0.22,0.18,0.16,0.03,1,79.3
0.25,0.26,0.01,0.01,0.38,0.09,1,55.4
0.36,0.23,0.03,0.17,0.03,0.18,1,42.8
0.38,0.03,0,0,0.13,0.46,1,52.1
0.43,0.35,0,0.1,0.12,0,1,47.2
0.53,0.25,0,0.03,0.18,0.01,1,30.2
0.51,0.21,0,0.11,0.15,0.02,1,40.7
0.23,0.24,0,0.32,0.13,0.08,1,58.5
0.23,0,0.05,0.14,0.17,0.41,1,89.9
0,0.29,0.17,0.37,0,0.17,1,53.9
0.27,0.19,0.02,0.14,0.13,0.25,1,48.8
0,0.27,0.03,0,0.17,0.53,0,500
0.02,0.26,0.12,0.24,0.2,0.16,1,54.4
0.5,0.02,0.02,0.39,0.04,0.03,1,50.9
0.05,0.13,0.23,0.19,0.01,0.39,1,112.3
0.39,0.19,0,0.13,0.28,0.01,1,41.5
0.11,0.43,0.16,0.12,0.16,0.02,1,42.9
0.12,0.27,0.14,0.09,0.33,0.05,1,49.8
0.17,0.26,0.13,0.09,0.33,0.02,1,48.3
0.33,0,0,0.42,0.16,0.09,1,57.9
0.46,0.25,0,0.08,0.05,0.16,1,30.5
0.27,0.09,0.05,0.4,0.19,0,1,52.7
0.31,0.09,0.2,0.4,0,0,1,55.8
0.33,0,0.03,0.05,0.24,0.35,1,50.3
0.35,0,0,0.07,0.24,0.34,1,48.5
0.47,0.09,0.13,0.06,0,0.25,1,43.6
0.46,0.13,0.12,0.05,0,0.24,1,41.4
0.35,0.23,0,0.34,0.03,0.05,1,45.1
0.05,0.44,0.08,0.05,0.33,0.05,0,200
0.08,0.18,0.09,0.35,0.27,0.03,1,69.4
0.18,0.2,0.07,0.27,0.28,0,1,58.6
0.02,0.1,0.34,0.1,0.32,0.12,1,66.3
0.3,0.07,0.29,0.02,0.1,0.22,1,45.9
0.48,0.15,0,0.02,0.31,0.04,1,42.7
0.5,0.3,0,0.15,0.05,0,1,28.7
0.11,0.02,0.02,0.35,0.16,0.34,1,72.5
0.11,0.02,0,0.34,0.19,0.34,1,65.8
0.43,0.22,0.15,0.13,0.05,0.02,1,39.3
0.52,0.21,0.05,0.11,0.09,0.02,1,35.7
0.13,0.19,0.03,0.43,0.06,0.16,1,56.4
0.16,0.4,0.21,0.1,0.03,0.1,1,41.3
